OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251,1993-036A,2026-08-17T06:08:04.825824,14.33265083,.00259207,74.0370,223.6201,249.0807,110.7569,0,U,22675,999,73319,.20862277E-4,.31E-6,0
COSMOS 2251 DEB,1993-036E,2026-08-17T08:52:05.255328,14.32633732,.00150086,74.0340,231.5326,193.6213,232.6433,0,U,33757,999,91542,.16311312E-4,.18E-6,0
COSMOS 2251 DEB,1993-036F,2026-08-17T02:43:23.450304,14.53079146,.00161626,74.0261,108.4263,121.0242,37.9444,0,U,33758,999,91896,.35321201E-3,.1434E-4,0
COSMOS 2251 DEB,1993-036H,2026-08-17T08:31:37.473312,14.35802936,.00214476,74.0314,186.9576,230.8218,283.8270,0,U,33760,999,91678,.51496033E-4,.123E-5,0
COSMOS 2251 DEB,1993-036J,2026-08-17T06:03:09.884736,14.43142861,.00231085,74.0363,152.6760,179.5011,333.5679,0,U,33761,999,91804,.18725647E-3,.604E-5,0
COSMOS 2251 DEB,1993-036K,2026-08-17T10:38:02.347008,14.33727866,.0016106,74.0393,217.1436,225.7672,296.4861,0,U,33762,999,91597,.1840647E-4,.25E-6,0
COSMOS 2251 DEB,1993-036M,2026-08-17T06:40:42.437280,14.39939697,.0020588,74.0335,175.3791,79.0322,85.5827,0,U,33764,999,91719,.15301788E-3,.456E-5,0
COSMOS 2251 DEB,1993-036N,2026-08-17T09:23:51.375840,15.28130177,.00466485,74.0009,13.5753,39.4305,321.0276,0,U,33765,999,93379,.13483451E-2,.38354E-3,0
COSMOS 2251 DEB,1993-036P,2026-08-17T10:38:52.811520,14.35628151,.00629988,74.1852,44.8636,177.9007,182.2424,0,U,33766,999,91299,.30291409E-3,.869E-5,0
COSMOS 2251 DEB,1993-036R,2026-08-17T08:14:00.255264,13.58635686,.03676702,74.0691,180.1565,282.9707,236.3283,0,U,33768,999,86658,.52889275E-4,.36E-6,0
COSMOS 2251 DEB,1993-036U,2026-08-17T11:54:51.781824,14.75695791,.00150289,74.0432,47.9595,29.9842,1.4105,0,U,33779,999,92177,.51489659E-3,.3495E-4,0
COSMOS 2251 DEB,1993-036X,2026-08-17T13:18:52.178112,14.40998031,.00209512,74.0328,178.9920,191.9821,291.0599,0,U,33782,999,91695,.20634395E-3,.638E-5,0
COSMOS 2251 DEB,1993-036AA,2026-08-17T15:08:49.981920,14.75237598,.00166142,73.8640,291.8065,189.1020,322.8574,0,U,33785,999,92157,.58318104E-3,.3921E-4,0
COSMOS 2251 DEB,1993-036AE,2026-08-17T09:41:02.360256,13.89101193,.0239956,74.0637,26.9474,84.5285,304.0324,0,U,33789,999,88534,.10564338E-3,.14E-5,0
COSMOS 2251 DEB,1993-036AG,2026-08-17T04:22:58.133856,14.44171592,.00278753,74.1736,301.4469,58.2120,330.9381,0,U,33791,999,91623,.23067286E-3,.769E-5,0
COSMOS 2251 DEB,1993-036AH,2026-08-17T05:02:17.209824,13.46201438,.04313783,73.9005,309.9547,330.8318,54.0447,0,U,33792,999,85772,.23429205E-3,.224E-5,0
COSMOS 2251 DEB,1993-036AJ,2026-08-17T12:39:26.172864,14.28417774,.00774342,73.9793,59.2597,153.2410,238.3311,0,U,33793,999,90744,.30655083E-3,.766E-5,0
COSMOS 2251 DEB,1993-036AL,2026-08-17T12:23:02.171040,15.17530824,.00300047,74.0426,283.7529,306.5606,119.0771,0,U,33795,999,93766,.69772417E-3,.14146E-3,0
