OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
FENGYUN 1C,1999-025A,2026-08-17T03:52:06.272544,14.27152542,.00139487,98.8617,303.4904,86.3728,273.9047,0,U,25730,999,40665,.49133777E-3,.1155E-4,0
FENGYUN 1C DEB,1999-025X,2026-08-17T12:57:19.668672,12.96877409,.05648169,99.2061,252.8251,349.9096,163.0581,0,U,29733,999,92331,.13515118E-2,.776E-5,0
FENGYUN 1C DEB,1999-025Y,2026-08-17T15:45:05.203872,12.91997284,.06047377,99.1674,124.1355,162.6183,231.2886,0,U,29734,999,91749,.19958748E-2,.119E-4,0
FENGYUN 1C DEB,1999-025Z,2026-08-17T14:14:05.156736,12.75884142,.07052389,99.3846,108.3616,345.8813,12.3438,0,U,29735,999,90575,.61245282E-3,.335E-5,0
FENGYUN 1C DEB,1999-025AA,2026-08-17T08:23:55.226400,12.57759010,.07243628,99.4360,6.6922,27.3539,1.0851,0,U,29736,999,89657,-.26228401E-3,-.151E-5,0
FENGYUN 1C DEB,1999-025AB,2026-08-16T17:08:09.827232,12.66315638,.07013553,99.5762,148.2788,324.3182,57.7353,0,U,29737,999,89994,-.76570644E-3,-.421E-5,0
FENGYUN 1C DEB,1999-025AC,2026-08-17T14:39:52.892640,12.62470076,.08549834,99.4189,356.8220,115.6087,253.5829,0,U,29738,999,89343,.43760841E-3,.305E-5,0
FENGYUN 1C DEB,1999-025AE,2026-08-17T08:45:18.302688,12.08715591,.09740794,99.0662,15.5087,64.6042,305.2594,0,U,29740,999,85926,-.17412927E-2,-.696E-5,0
FENGYUN 1C DEB,1999-025AF,2026-08-17T10:47:52.799424,12.01673452,.10242436,99.1867,38.6568,297.3171,77.3621,0,U,29741,999,55158,.16176128E-2,.61E-5,0
FENGYUN 1C DEB,1999-025AN,2026-08-16T08:50:12.511104,11.93172773,.07063281,100.0079,102.1672,287.6392,64.8767,0,U,29748,999,81671,-.52077774E-1,-.7869E-4,0
FENGYUN 1C DEB,1999-025AQ,2026-08-17T13:25:42.319776,14.09844230,.00350535,98.7318,256.5710,321.0330,201.1173,0,U,29750,999,553,.10366903E-3,.14E-5,0
FENGYUN 1C DEB,1999-025AR,2026-08-17T13:27:34.896384,14.23808883,.00898712,98.5195,255.0073,136.9082,14.2496,0,U,29751,999,1598,.79399139E-4,.148E-5,0
FENGYUN 1C DEB,1999-025AU,2026-08-17T12:41:36.178944,14.19971750,.00345573,98.8929,338.1238,248.9524,171.9095,0,U,29754,999,856,.5055581E-3,.1036E-4,0
FENGYUN 1C DEB,1999-025AY,2026-08-17T14:39:56.080800,14.44540327,.00180203,98.8651,0.0528,292.3926,132.8980,0,U,29758,999,1247,.10319476E-2,.3527E-4,0
FENGYUN 1C DEB,1999-025BA,2026-08-17T11:51:54.522720,14.08450603,.01300832,98.7682,229.7414,194.1822,165.5683,0,U,29760,999,579,.14689874E-3,.229E-5,0
FENGYUN 1C DEB,1999-025BC,2026-08-17T10:02:46.728960,14.22918803,.02031063,98.6033,211.3602,335.8860,179.0970,0,U,29762,999,1465,.15472744E-3,.382E-5,0
FENGYUN 1C DEB,1999-025BD,2026-08-17T09:58:01.164000,14.08059771,.01265874,98.7869,207.0166,202.1233,312.2080,0,U,29763,999,536,.11262146E-3,.163E-5,0
FENGYUN 1C DEB,1999-025BF,2026-08-17T12:49:45.937344,14.02200105,.00596955,98.8162,244.7929,120.4981,31.2462,0,U,29765,999,214,-.14706586E-3,-.271E-5,0
FENGYUN 1C DEB,1999-025BG,2026-08-17T14:58:29.601408,13.97839120,.01453225,98.6974,171.1077,320.2018,216.6115,0,U,29766,999,99266,.52691406E-3,.774E-5,0
FENGYUN 1C DEB,1999-025BH,2026-08-17T14:00:53.688672,14.05351384,.03272341,98.2144,180.1311,73.6995,342.7034,0,U,29767,999,99079,.9762009E-3,.2524E-4,0
FENGYUN 1C DEB,1999-025BK,2026-08-17T03:50:32.223552,14.14617392,.00936989,99.0902,295.8581,152.2097,208.4127,0,U,29769,999,174,.72000185E-3,.1398E-4,0
FENGYUN 1C DEB,1999-025BL,2026-08-16T16:33:01.440000,14.21531364,.00597208,98.8349,309.3213,282.7977,232.5748,0,U,29770,999,590,.70245032E-3,.1521E-4,0
FENGYUN 1C DEB,1999-025BM,2026-08-17T08:14:41.997696,15.10175500,.00202651,99.6130,133.5139,50.7887,309.5131,0,U,29771,999,36813,.39566032E-2,.65379E-3,0
FENGYUN 1C DEB,1999-025BN,2026-08-17T12:09:07.272288,14.03958378,.01356998,98.3758,64.5381,309.1382,78.3117,0,U,29772,999,99731,.41239209E-3,.667E-5,0
FENGYUN 1C DEB,1999-025BP,2026-08-17T10:27:40.732704,14.27990472,.00461192,99.0179,35.5365,295.0178,92.2303,0,U,29773,999,1731,.17013264E-3,.379E-5,0
FENGYUN 1C DEB,1999-025BQ,2026-08-17T08:23:58.477632,14.22929354,.00508728,99.1009,182.5540,134.4324,27.2815,0,U,29774,999,1597,.893355E-4,.157E-5,0
FENGYUN 1C DEB,1999-025BS,2026-08-17T01:39:54.523584,14.07899866,.00225776,98.7498,253.4457,294.7707,88.2382,0,U,29776,999,560,.15361359E-3,.218E-5,0
FENGYUN 1C DEB,1999-025BT,2026-08-17T09:48:36.256608,13.92185942,.00919158,99.2506,291.1212,260.1688,162.3887,0,U,29777,999,99487,.12380751E-3,.118E-5,0
FENGYUN 1C DEB,1999-025BV,2026-08-17T11:30:57.919392,14.13655427,.0063071,98.6727,238.3041,176.9139,183.2435,0,U,29779,999,913,.11518356E-3,.179E-5,0
FENGYUN 1C DEB,1999-025BW,2026-08-16T18:21:16.182432,14.22650948,.0039571,99.2799,167.4475,145.6336,214.7411,0,U,29780,999,586,.8509059E-3,.1871E-4,0
FENGYUN 1C DEB,1999-025BX,2026-08-17T05:58:41.083104,14.05710238,.00708123,98.8237,221.7014,198.6042,174.1764,0,U,29781,999,118,.24461001E-3,.365E-5,0
FENGYUN 1C DEB,1999-025BY,2026-08-17T10:08:07.181376,14.12629345,.00534103,99.0836,291.4616,225.0219,199.6399,0,U,29782,999,166,.53552312E-3,.959E-5,0
FENGYUN 1C DEB,1999-025CA,2026-08-17T06:06:06.178752,14.31155117,.00584809,98.9496,160.3233,296.7909,222.8470,0,U,29784,999,1896,.23501713E-3,.584E-5,0
