OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
IRIDIUM 33,1997-051C,2026-08-17T05:31:07.014720,14.35169074,.00098347,86.3912,324.3429,119.6278,240.5899,0,U,24946,999,51384,.43740878E-4,.145E-5,0
IRIDIUM 33 DEB,1997-051L,2026-08-17T12:42:42.833952,14.43731615,.00128724,86.4038,315.5706,60.9009,299.3479,0,U,33773,999,91922,.12070092E-3,.431E-5,0
IRIDIUM 33 DEB,1997-051N,2026-08-17T04:25:35.811264,14.42148477,.00147711,86.3637,303.8721,71.8680,317.7238,0,U,33775,999,91706,.17966761E-3,.612E-5,0
IRIDIUM 33 DEB,1997-051P,2026-08-17T13:57:15.371424,14.38605078,.00166585,86.4088,336.6625,103.3427,270.4137,0,U,33776,999,91645,.12533562E-3,.404E-5,0
IRIDIUM 33 DEB,1997-051Q,2026-08-17T05:34:19.189056,14.57195319,.00085834,86.3759,287.4140,130.4577,229.7381,0,U,33777,999,92136,.36917492E-3,.1688E-4,0
IRIDIUM 33 DEB,1997-051T,2026-08-17T11:51:15.082848,14.42793971,.00139554,86.3384,283.6012,75.7771,351.6001,0,U,33850,999,91724,.27891225E-3,.95E-5,0
IRIDIUM 33 DEB,1997-051W,2026-08-17T01:37:00.306624,13.99936208,.02082936,85.9957,241.2529,196.7983,221.8635,0,U,33853,999,88805,.25510641E-3,.47E-5,0
IRIDIUM 33 DEB,1997-051AD,2026-08-17T15:13:52.776768,14.70776432,.00084162,86.3783,277.1572,183.5174,335.3390,0,U,33860,999,92362,.45990525E-3,.283E-4,0
IRIDIUM 33 DEB,1997-051AF,2026-08-17T04:29:33.005184,14.73945758,.00450355,86.4067,287.9446,289.3984,124.9476,0,U,33862,999,92464,.19081513E-3,.1297E-4,0
IRIDIUM 33 DEB,1997-051AK,2026-08-17T14:48:41.908608,14.26673460,.01143122,86.3051,348.0449,85.5565,288.6385,0,U,33866,999,90343,.89704359E-3,.2343E-4,0
IRIDIUM 33 DEB,1997-051AP,2026-08-17T04:39:22.813056,14.46998070,.00227225,86.3763,312.1061,82.7687,306.2988,0,U,33870,999,91714,.28722942E-3,.1068E-4,0
IRIDIUM 33 DEB,1997-051BA,2026-08-17T14:26:09.281184,14.63074379,.00549717,86.3878,358.3561,56.3958,314.7186,0,U,33881,999,91117,.13980797E-2,.7359E-4,0
IRIDIUM 33 DEB,1997-051BD,2026-08-17T13:25:39.877248,14.83943569,.0013554,86.3628,257.2563,148.0771,11.2746,0,U,33884,999,92515,.65155494E-3,.5449E-4,0
IRIDIUM 33 DEB,1997-051BF,2026-08-17T06:39:30.199968,14.36301978,.00152324,86.3871,323.0361,149.5114,232.9598,0,U,33886,999,91605,.92834386E-4,.291E-5,0
IRIDIUM 33 DEB,1997-051BG,2026-08-17T12:52:41.495232,14.37428421,.00076612,86.2992,256.5936,135.5372,24.9737,0,U,33887,999,91724,.60668118E-4,.201E-5,0
IRIDIUM 33 DEB,1997-051BN,2026-08-17T05:18:08.820288,14.57435937,.00152386,86.3857,306.1904,354.6790,31.2075,0,U,33953,999,91906,.34186823E-3,.1574E-4,0
IRIDIUM 33 DEB,1997-051BV,2026-08-17T08:06:25.710912,14.95457411,.00029989,86.2586,171.6783,62.5191,95.9157,0,U,33960,999,92557,.84269604E-3,.935E-4,0
IRIDIUM 33 DEB,1997-051CB,2026-08-17T04:39:03.480192,14.50526246,.00099245,86.3920,299.7691,97.3721,290.8903,0,U,33966,999,92028,.20753494E-3,.833E-5,0
IRIDIUM 33 DEB,1997-051CE,2026-08-17T12:39:13.313952,14.50533729,.00076172,86.3406,270.0197,20.8324,339.3190,0,U,34071,999,91925,.23682629E-3,.948E-5,0
IRIDIUM 33 DEB,1997-051CL,2026-08-17T05:36:48.420000,14.68684738,.00071412,86.3844,302.1114,240.5861,173.3359,0,U,34077,999,91961,.60707155E-3,.3556E-4,0
IRIDIUM 33 DEB,1997-051CN,2026-08-17T13:49:53.439744,14.90891075,.00077183,86.3694,255.1339,157.3532,1.9304,0,U,34079,999,92662,.76623582E-3,.7584E-4,0
IRIDIUM 33 DEB,1997-051CX,2026-08-17T04:38:01.161600,15.07619277,.00041733,86.3667,275.3748,54.1018,12.6145,0,U,34088,999,92451,.12523923E-2,.19121E-3,0
IRIDIUM 33 DEB,1997-051DA,2026-08-17T12:17:51.786816,14.98097000,.00296506,86.3467,311.7815,131.9495,228.4271,0,U,34091,999,91559,.20841912E-2,.2497E-3,0
IRIDIUM 33 DEB,1997-051DG,2026-08-17T11:56:09.603168,14.36306029,.00773337,86.1945,251.8516,271.6126,87.6213,0,U,34097,999,90674,.41754623E-3,.1281E-4,0
IRIDIUM 33 DEB,1997-051DY,2026-08-17T09:39:36.554688,14.43887720,.00516497,86.2093,222.0308,359.4704,0.6433,0,U,34145,999,91210,.53718242E-3,.1881E-4,0
IRIDIUM 33 DEB,1997-051DZ,2026-08-17T11:28:18.584832,14.50406986,.00285242,86.2782,240.2009,116.8589,36.5672,0,U,34146,999,91696,.37819853E-3,.1505E-4,0
IRIDIUM 33 DEB,1997-051EN,2026-08-17T04:16:16.881888,14.39043636,.00276319,86.3514,302.7197,190.0272,170.0379,0,U,34159,999,91517,.1788331E-3,.574E-5,0
IRIDIUM 33 DEB,1997-051ES,2026-08-17T12:56:50.641728,14.45968574,.00223917,86.3223,255.2178,41.9980,109.6901,0,U,34350,999,91873,.13253241E-3,.493E-5,0
IRIDIUM 33 DEB,1997-051FJ,2026-08-17T05:02:19.654080,14.56207454,.00203184,86.3683,301.4765,34.4849,342.5626,0,U,34366,999,91781,.49845555E-3,.2229E-4,0
IRIDIUM 33 DEB,1997-051FT,2026-08-17T13:00:08.807040,14.18411352,.01034335,86.4248,82.7549,59.9149,320.5171,0,U,34375,999,90224,.20481437E-3,.465E-5,0
IRIDIUM 33 DEB,1997-051FU,2026-08-17T11:50:10.725216,14.66786140,.00260586,86.2900,254.6658,50.5411,309.8103,0,U,34376,999,91634,.7368923E-3,.4152E-4,0
