norad_a,name_a,type_a,group_a,norad_b,name_b,type_b,group_b,tca_utc,miss_km,rel_speed_kms,altitude_km,steps_in_run,classification
50993,ION SCV-004,PAY,active,67449,STARLINK-36519,PAY,active,2026-08-17T08:21:42.756+00:00,0.010366,11.38899,485.558,2,passage
45198,STARLINK-1154,PAY,active,60310,STARLINK-11200 [DTC],PAY,active,2026-08-17T09:38:29.020+00:00,0.04982,10.963696,364.107,1,passage
28372,APRIZESAT 1,PAY,active,43478,IRIDIUM 161,PAY,active,2026-08-17T20:58:54.813+00:00,0.090603,14.930305,750.028,2,passage
69877,TRANSPORTER-17 OBJECT J,PAY,active,37546,COSMOS 2251 DEB,DEB,cosmos-2251-debris,2026-08-17T15:34:12.126+00:00,0.091921,14.920605,603.578,1,passage
57681,STARLINK-30273,PAY,active,65104,STARLINK-34481,PAY,active,2026-08-17T23:52:39.259+00:00,0.096628,12.210208,463.159,1,passage
58081,STARLINK-30602,PAY,active,58125,STARLINK-30766,PAY,active,2026-08-17T13:09:34.329+00:00,0.099103,4.231507,477.382,2,passage
58412,STARLINK-30924,PAY,active,61051,STARLINK-11252 [DTC],PAY,active,2026-08-17T00:50:40.974+00:00,0.101187,11.433699,360.913,1,passage
53145,STARLINK-4106,PAY,active,63993,SCS-01 M,PAY,active,2026-08-17T08:49:13.257+00:00,0.103914,13.982362,476.266,2,passage
67292,SITRO-AIS-64,PAY,active,69323,GUOWANG TEST OBJECT D,PAY,active,2026-08-17T02:47:12.807+00:00,0.10761,14.779709,483.021,1,passage
58418,STARLINK-30895,PAY,active,67448,STARLINK-36423,PAY,active,2026-08-17T08:26:58.122+00:00,0.120366,10.113759,481.049,1,passage
43024,JILIN-1 06,PAY,active,67897,STARLINK-36870,PAY,active,2026-08-17T01:04:46.536+00:00,0.130046,15.101114,463.603,2,passage
55045,CONTINUUM-1,PAY,active,60589,STARLINK-32169,PAY,active,2026-08-17T16:58:13.183+00:00,0.131561,5.9292,467.944,2,passage
54692,JILIN-1 GAOFEN 03D47,PAY,active,69482,STARLINK-37814,PAY,active,2026-08-17T16:52:48.571+00:00,0.132631,14.650448,458.508,1,passage
52364,STARLINK-3820,PAY,active,56934,GEISAT PRECURSOR,PAY,active,2026-08-17T00:52:49.027+00:00,0.145183,14.756569,467.085,1,passage
63205,QPS-SAR-9 (SUSANOO-I),PAY,active,65602,STARLINK-35255,PAY,active,2026-08-17T01:40:12.379+00:00,0.152217,14.167738,551.116,1,passage
54776,STARLINK-5470,PAY,active,64227,STARLINK-34330,PAY,active,2026-08-17T22:15:51.445+00:00,0.153456,2.563348,454.465,3,passage
58081,STARLINK-30602,PAY,active,58125,STARLINK-30766,PAY,active,2026-08-17T11:35:24.966+00:00,0.153491,4.231505,477.385,2,passage
57334,STARLINK-5589,PAY,active,67267,2025-313V,PAY,active,2026-08-17T23:58:04.541+00:00,0.153783,12.79652,477.29,2,passage
45625,GAOFEN-9 02,PAY,active,54826,STARLINK-5107,PAY,active,2026-08-17T22:06:26.321+00:00,0.162228,10.822032,485.28,2,passage
58418,STARLINK-30895,PAY,active,67959,STARLINK-36834,PAY,active,2026-08-17T10:45:47.375+00:00,0.164843,9.711932,484.102,2,passage
51873,STARLINK-3582,PAY,active,62619,IRIS-F3,PAY,active,2026-08-17T07:13:52.821+00:00,0.171458,7.385152,493.072,2,passage
62429,STARLINK-32418,PAY,active,68006,STARLINK-36889,PAY,active,2026-08-17T19:42:36.941+00:00,0.176178,7.673852,478.587,2,passage
52546,STARLINK-3948,PAY,active,52563,STARLINK-3942,PAY,active,2026-08-17T12:07:46.816+00:00,0.180833,0.879434,451.722,7,passage
44310,BUFENG 1A,PAY,active,53145,STARLINK-4106,PAY,active,2026-08-17T11:40:01.431+00:00,0.187851,7.749846,475.884,1,passage
44312,JILIN-1 GAOFEN 3A,PAY,active,69348,STARLINK-37775,PAY,active,2026-08-17T16:00:37.174+00:00,0.19159,12.930206,461.644,1,passage
69923,RAFS,PAY,active,47069,COSMOS 2251 DEB,DEB,cosmos-2251-debris,2026-08-17T23:15:36.070+00:00,0.193345,14.598208,602.968,2,passage
60748,2024-153D,PAY,active,63399,STARLINK-33531,PAY,active,2026-08-17T17:42:02.968+00:00,0.194559,11.412032,485.4,2,passage
66769,SPEQTRE,PAY,active,69021,HELIOS,PAY,active,2026-08-17T03:40:48.831+00:00,0.197798,15.083759,507.286,1,passage
61901,2024-205H,PAY,active,68033,STARLINK-36947,PAY,active,2026-08-17T08:25:20.674+00:00,0.198361,13.740222,456.77,1,passage
65775,KUIPER-00156,PAY,active,68887,KUIPER-00507,PAY,active,2026-08-17T00:43:48.906+00:00,0.199204,6.806781,634.416,1,passage
59443,HAWK-8A,PAY,active,66666,FORMOSAT-8A,PAY,active,2026-08-17T18:38:30.862+00:00,0.200373,6.853079,568.823,1,passage
56558,STARLINK-6286,PAY,active,67679,COSMOS 2605,PAY,active,2026-08-17T15:57:18.492+00:00,0.201851,12.425768,485.584,1,passage
68261,TEN-KOH 2,PAY,active,31938,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T15:10:39.557+00:00,0.202709,11.042179,495.014,1,passage
54689,DONGPO 10,PAY,active,66166,STARLINK-35624,PAY,active,2026-08-17T09:56:18.372+00:00,0.20332,5.890326,462.272,2,passage
57783,STARLINK-30389,PAY,active,59122,NUSAT-44 (MARIA MITCHELL),PAY,active,2026-08-17T09:29:06.638+00:00,0.205557,6.984357,483.234,2,passage
28493,NANOSAT-1,PAY,active,39766,ALOS-2,PAY,active,2026-08-17T11:08:59.571+00:00,0.208282,5.328233,639.488,2,passage
53991,STARLINK-5118,PAY,active,57026,2023-085Y,PAY,active,2026-08-17T19:55:01.103+00:00,0.211909,14.323192,454.063,1,passage
56191,HAWK-7A,PAY,active,66793,STARLINK-36051,PAY,active,2026-08-17T18:41:02.075+00:00,0.212804,14.297422,481.391,1,passage
60746,2024-153B,PAY,active,65502,STARLINK-35114,PAY,active,2026-08-17T08:13:35.676+00:00,0.214267,13.581798,467.658,2,passage
64875,REAL,PAY,active,66232,STARLINK-35753,PAY,active,2026-08-17T21:49:08.035+00:00,0.221149,11.742231,468.134,1,passage
57411,STARLINK-30214,PAY,active,63821,STARLINK-34047,PAY,active,2026-08-17T01:01:12.668+00:00,0.224295,6.39172,478.288,2,passage
55494,STARLINK-5344,PAY,active,66748,UMBRA-11,PAY,active,2026-08-17T03:17:18.871+00:00,0.225682,13.963266,484.877,1,passage
53561,STARLINK-4563,PAY,active,53723,STARLINK-4705,PAY,active,2026-08-17T02:31:34.586+00:00,0.227252,12.196031,459.848,2,passage
48271,TYVAK-182A,PAY,active,53050,STARLINK-4343,PAY,active,2026-08-17T02:09:12.134+00:00,0.227402,12.927469,557.775,1,passage
46055,STARLINK-1554,PAY,active,53824,STARLINK-4757,PAY,active,2026-08-17T20:35:02.296+00:00,0.234792,11.700702,473.902,1,passage
51997,STARLINK-3589,PAY,active,64540,ARCSTONE,PAY,active,2026-08-17T23:04:12.453+00:00,0.238568,6.13961,466.135,2,passage
37168,SBSS (USA 216),PAY,active,58933,STARLINK-31350,PAY,active,2026-08-17T01:51:11.046+00:00,0.238594,14.74051,466.195,1,passage
59907,STARLINK-31920,PAY,active,60313,STARLINK-11205 [DTC],PAY,active,2026-08-17T06:45:37.066+00:00,0.241971,11.201175,362.698,2,passage
50840,STARLINK-3295,PAY,active,64540,ARCSTONE,PAY,active,2026-08-17T22:21:45.102+00:00,0.244755,14.768496,465.801,2,passage
49261,CS1,PAY,active,65179,STARLINK-34932,PAY,active,2026-08-17T17:36:43.575+00:00,0.246938,15.030478,461.05,2,passage
48435,STARLINK-2633,PAY,active,60746,2024-153B,PAY,active,2026-08-17T20:18:25.386+00:00,0.251943,13.301346,462.945,2,passage
54788,STARLINK-5399,PAY,active,61891,STARLINK-32383,PAY,active,2026-08-17T22:20:55.860+00:00,0.253096,7.723111,468.078,2,passage
36799,TISAT 1,PAY,active,53654,STARLINK-4420,PAY,active,2026-08-17T12:44:08.909+00:00,0.255088,9.177579,474.137,1,passage
53011,STARLINK-4265,PAY,active,60749,2024-153E,PAY,active,2026-08-17T01:01:09.406+00:00,0.256867,10.003278,488.883,1,passage
62727,2025-012C,PAY,active,66457,STARLINK-35466,PAY,active,2026-08-17T20:52:07.544+00:00,0.257551,14.199841,481.44,1,passage
43152,ASNARO-2,PAY,active,52584,STARLINK-3922,PAY,active,2026-08-17T21:08:07.849+00:00,0.259131,13.138715,506.336,1,passage
57173,2023-091H,PAY,active,59938,STARLINK-31876,PAY,active,2026-08-17T19:49:26.783+00:00,0.264442,14.010319,479.309,2,passage
51130,STARLINK-3395,PAY,active,68408,LPNTSAT-001 (IOD-1),PAY,active,2026-08-17T17:13:15.763+00:00,0.26726,14.708343,505.48,2,passage
52790,GEESAT-1 06,PAY,active,47119,COSMOS 2251 DEB,DEB,cosmos-2251-debris,2026-08-17T22:50:34.611+00:00,0.267377,11.746146,623.19,2,passage
68613,STARLINK-36187,PAY,active,68635,CANVAS,PAY,active,2026-08-17T02:39:08.505+00:00,0.269051,13.421536,458.635,1,passage
57603,STARLINK-30223,PAY,active,66694,YAM-9,PAY,active,2026-08-17T22:40:33.439+00:00,0.271447,7.501256,517.912,2,passage
57630,HEAD-3E,PAY,active,30946,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T08:23:10.595+00:00,0.271602,7.250609,676.429,1,passage
66672,BRO-17,PAY,active,69004,GEN1A-1,PAY,active,2026-08-17T15:23:07.050+00:00,0.277337,15.084213,506.701,1,passage
36657,FENGYUN 1C DEB,DEB,fengyun-1c-debris,34146,IRIDIUM 33 DEB,DEB,iridium-33-debris,2026-08-17T07:23:19.291+00:00,0.281849,14.900826,742.606,1,passage
43613,ICESAT-2,PAY,active,58240,STARLINK-30848,PAY,active,2026-08-17T06:36:20.009+00:00,0.282661,13.731355,479.384,1,passage
41173,DAMPE,PAY,active,62503,STARLINK-32768,PAY,active,2026-08-17T13:15:44.772+00:00,0.286357,13.529917,478.162,2,passage
30374,FENGYUN 1C DEB,DEB,fengyun-1c-debris,37562,IRIDIUM 33 DEB,DEB,iridium-33-debris,2026-08-17T16:59:07.484+00:00,0.287481,14.875019,696.837,1,passage
39208,SHIYAN-7 (SY-7),PAY,active,31376,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T19:11:20.362+00:00,0.289324,7.857262,657.541,1,passage
33320,HUANJING 1A (HJ-1A),PAY,active,58914,GEESAT-2 10,PAY,active,2026-08-17T20:48:10.365+00:00,0.289823,13.955931,615.409,1,passage
58250,STARLINK-30808,PAY,active,69152,STARLINK-37317,PAY,active,2026-08-17T04:50:06.654+00:00,0.293264,10.281624,467.054,2,passage
64265,STARLINK-34240,PAY,active,66643,STARLINK-35918,PAY,active,2026-08-17T11:59:05.182+00:00,0.301529,2.171772,454.81,4,passage
48137,STARLINK-2480,PAY,active,60504,YAM-7,PAY,active,2026-08-17T19:17:54.737+00:00,0.301647,14.753717,470.559,2,passage
53636,STARLINK-4586,PAY,active,69670,STARLINK-37948,PAY,active,2026-08-17T00:27:46.191+00:00,0.302444,8.125463,473.067,2,passage
55468,STARLINK-5672,PAY,active,57819,STARLINK-30390,PAY,active,2026-08-17T22:54:09.119+00:00,0.302513,7.623388,478.646,1,passage
54750,YAOGAN-36 04C,PAY,active,63388,STARLINK-33629,PAY,active,2026-08-17T12:38:29.691+00:00,0.303407,9.716991,466.191,1,passage
54750,YAOGAN-36 04C,PAY,active,68686,STARLINK-37213,PAY,active,2026-08-17T16:56:10.815+00:00,0.304164,9.289139,463.64,1,passage
31231,FENGYUN 1C DEB,DEB,fengyun-1c-debris,31389,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T03:30:13.225+00:00,0.305105,0.670142,673.945,9,passage
48606,TYVAK-0130,PAY,active,62652,FLOCK 4G-31,PAY,active,2026-08-17T14:31:03.924+00:00,0.306689,14.328296,470.868,2,passage
62216,COSMOS 2580,PAY,active,30739,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T09:55:52.166+00:00,0.307463,6.852467,902.684,2,passage
61560,QIANFAN-27,PAY,active,30541,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T01:49:21.321+00:00,0.311445,13.527096,791.366,1,passage
60200,STARLINK-32002,PAY,active,62610,EDISON-1,PAY,active,2026-08-17T17:46:55.417+00:00,0.312637,6.159455,474.02,2,passage
43803,JY1SAT (JO-97),PAY,active,64596,STARLINK-34510,PAY,active,2026-08-17T00:39:53.176+00:00,0.312774,6.076344,460.5,2,passage
57527,STARLINK-30250,PAY,active,66608,STARLINK-36036,PAY,active,2026-08-17T01:31:03.283+00:00,0.313586,4.742146,477.777,2,passage
43833,SAUDISAT 5B,PAY,active,63586,STARLINK-33834,PAY,active,2026-08-17T12:36:49.471+00:00,0.313728,14.176091,480.422,1,passage
48404,STARLINK-2593,PAY,active,56748,2023-072F,PAY,active,2026-08-17T11:35:37.025+00:00,0.321187,13.287451,476.055,1,passage
43766,SPAWAR-CAL-O,PAY,active,69835,STARLINK-37247,PAY,active,2026-08-17T23:35:29.614+00:00,0.32341,14.672706,463.437,1,passage
55919,STARLINK-5871,PAY,active,61743,SITRO-AIS 13,PAY,active,2026-08-17T19:47:30.739+00:00,0.32427,14.955564,576.144,1,passage
53803,STARLINK-4727,PAY,active,67605,STARLINK-36281,PAY,active,2026-08-17T13:24:47.636+00:00,0.324573,8.061511,461.839,2,passage
53890,STARLINK-5050,PAY,active,63238,TEVEL2-7,PAY,active,2026-08-17T23:50:24.890+00:00,0.329309,14.459741,465.904,2,passage
35759,COSMOS 2251 DEB,DEB,cosmos-2251-debris,30984,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T11:13:57.098+00:00,0.329855,14.818612,725.013,1,passage
46034,STARLINK-1557,PAY,active,66703,PELICAN-6,PAY,active,2026-08-17T12:07:56.193+00:00,0.331746,14.464065,466.008,2,passage
40973,PROPCUBE 3,PAY,active,55754,STARLINK-5612,PAY,active,2026-08-17T11:57:31.727+00:00,0.332451,13.051945,576.193,1,passage
39769,RISING 2,PAY,active,63091,STARLINK-32925,PAY,active,2026-08-17T13:26:26.530+00:00,0.332459,3.911867,576.115,2,passage
48860,YAOGAN-30 10A,PAY,active,66993,2025-292A,PAY,active,2026-08-17T19:38:23.766+00:00,0.333864,13.840647,555.948,2,passage
53011,STARLINK-4265,PAY,active,57168,2023-091C,PAY,active,2026-08-17T22:47:09.392+00:00,0.335299,14.174485,488.458,1,passage
57012,2023-085J,PAY,active,66221,STARLINK-35704,PAY,active,2026-08-17T16:41:14.416+00:00,0.336016,14.084875,456.476,2,passage
65947,KUIPER-00101,PAY,active,30247,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T03:11:58.598+00:00,0.336449,13.504501,634.482,1,passage
49760,STARLINK-3199,PAY,active,58921,NEXSAT-1,PAY,active,2026-08-17T01:42:40.478+00:00,0.337975,14.733358,465.582,1,passage
45100,STARLINK-1193,PAY,active,100150,STARLINK-38179,PAY,active,2026-08-17T15:46:57.190+00:00,0.341863,12.187521,350.336,1,passage
58081,STARLINK-30602,PAY,active,58125,STARLINK-30766,PAY,active,2026-08-17T14:43:43.688+00:00,0.348663,4.231509,477.378,2,passage
30208,FENGYUN 1C DEB,DEB,fengyun-1c-debris,31776,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T10:34:53.786+00:00,0.354737,8.507256,827.695,2,passage
55960,STARLINK-5938,PAY,active,60535,NIGHTJAR,PAY,active,2026-08-17T20:14:54.015+00:00,0.355182,10.723175,576.126,2,passage
58445,STARLINK-30961,PAY,active,58874,STARLINK-30945,PAY,active,2026-08-17T03:11:08.656+00:00,0.356993,10.106269,481.167,1,passage
61048,SPACEMOBILE-002,PAY,active,68457,TRANSPORTER-16 OBJECT AT,PAY,active,2026-08-17T22:12:03.401+00:00,0.359401,14.576373,503.432,2,passage
53638,STARLINK-4594,PAY,active,62745,STARLINK-32746,PAY,active,2026-08-17T14:58:17.585+00:00,0.359438,9.04816,478.476,2,passage
57666,STARLINK-30301,PAY,active,69436,STARLINK-37800,PAY,active,2026-08-17T17:18:46.287+00:00,0.361647,14.237472,461.893,2,passage
54776,STARLINK-5470,PAY,active,63510,STARLINK-33764,PAY,active,2026-08-17T14:35:21.939+00:00,0.365913,7.514244,455.67,2,passage
54695,JILIN-1 GAOFEN 03D48,PAY,active,64914,STARLINK-34571,PAY,active,2026-08-17T06:10:55.749+00:00,0.367333,10.757047,455.092,2,passage
47904,STARLINK-2364,PAY,active,64095,COSMOS 2588,PAY,active,2026-08-17T10:13:44.574+00:00,0.36773,13.347472,474.129,2,passage
59466,STARLINK-31462,PAY,active,66306,BANDWAGON-4 OBJECT P,PAY,active,2026-08-17T03:04:11.755+00:00,0.368285,5.735669,485.543,2,passage
47351,STARLINK-2017,PAY,active,49750,STARLINK-3236,PAY,active,2026-08-17T17:38:08.051+00:00,0.372051,11.878714,468.493,1,passage
31163,FENGYUN 1C DEB,DEB,fengyun-1c-debris,37464,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T17:31:51.869+00:00,0.376484,12.565198,752.481,1,passage
100064,PRAETORIAN SDA_506,PAY,active,29818,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T08:35:24.476+00:00,0.380448,14.676367,961.148,2,passage
54686,DONGPO 08,PAY,active,66137,STARLINK-35576,PAY,active,2026-08-17T12:12:46.793+00:00,0.381461,6.764351,458.924,2,passage
68066,STARLINK-36976,PAY,active,31346,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T06:59:58.450+00:00,0.382104,13.942074,468.282,1,passage
58703,TIANMU-1 18,PAY,active,67310,STARLINK-36491,PAY,active,2026-08-17T13:00:26.739+00:00,0.388442,10.752697,476.966,2,passage
52840,STARLINK-4049,PAY,active,62685,FLOCK 4G-33,PAY,active,2026-08-17T18:54:33.248+00:00,0.388515,8.179394,479.535,2,passage
52352,STARLINK-3838,PAY,active,69612,KUIPER-00543,PAY,active,2026-08-17T15:17:35.824+00:00,0.390763,8.726262,464.91,2,passage
58081,STARLINK-30602,PAY,active,58125,STARLINK-30766,PAY,active,2026-08-17T10:01:15.599+00:00,0.393081,4.231502,477.388,2,passage
57290,STARLINK-30198,PAY,active,57738,STARLINK-30351,PAY,active,2026-08-17T09:28:21.508+00:00,0.396848,4.805322,477.627,2,passage
58662,TIANMU-1 21,PAY,active,64731,STARLINK-34552,PAY,active,2026-08-17T04:06:54.645+00:00,0.400617,14.652773,466.513,2,passage
63210,JINJUSAT-1B,PAY,active,68253,STARLINK-37086,PAY,active,2026-08-17T09:43:44.290+00:00,0.402128,13.828711,455.297,2,passage
63079,STARLINK-32817,PAY,active,31202,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T04:41:16.633+00:00,0.405565,9.415689,567.297,2,passage
57218,STARLINK-5525,PAY,active,58874,STARLINK-30945,PAY,active,2026-08-17T07:04:45.317+00:00,0.405582,9.821909,484.298,2,passage
57774,STARLINK-30384,PAY,active,59775,2024-092C,PAY,active,2026-08-17T06:25:16.254+00:00,0.406405,7.061866,481.792,2,passage
67589,STARLINK-36641,PAY,active,33687,FENGYUN 1C DEB,DEB,fengyun-1c-debris,2026-08-17T02:43:37.067+00:00,0.406671,0.440494,459.336,13,passage
31598,COSMO-SKYMED 1,PAY,active,55780,STARLINK-5819,PAY,active,2026-08-17T13:45:14.017+00:00,0.406754,12.963693,566.981,2,passage
60081,KINEIS-1C,PAY,active,68929,KUIPER-00414,PAY,active,2026-08-17T17:26:23.072+00:00,0.408367,11.454581,621.232,2,passage
56730,IRIDIUM 179,PAY,active,63729,KUIPER-00013,PAY,active,2026-08-17T17:16:38.385+00:00,0.40845,11.676502,623.111,1,passage
